All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     assembly
# misassemblies              89      
  # contig misassemblies     89      
    # c. relocations         32      
    # c. translocations      57      
    # c. inversions          0       
  # scaffold misassemblies   0       
    # s. relocations         0       
    # s. translocations      0       
    # s. inversions          0       
# misassembled contigs       18      
Misassembled contigs length  12083761
# local misassemblies        35      
# scaffold gap ext. mis.     0       
# scaffold gap loc. mis.     0       
# unaligned mis. contigs     0       
# mismatches                 25459   
# indels                     2616    
    # indels (<= 5 bp)       2230    
    # indels (> 5 bp)        386     
Indels length                14429   
